USER_ID,UBICATION,CORPORATE
6077,Medellin,Bancolombia
6079,Medellin,Bancolombia
6095,Copacabana,Bancolombia
6098,Medellin,Bancolombia
6100,Santafe De Bogota D.C.,Bancolombia
6106,Rionegro,Bancolombia
6108,Medellin,Suramericana
6122,Medellin,Bancolombia
6140,Medellin,Bancolombia
6154,Medellin,Bancolombia
6172,Itagui,Bancolombia
6185,Medellin,Bancolombia
6198,Envigado,Bancolombia
6201,Medellin,Bancolombia
6207,Villavicencio,Bancolombia
6209,Marinilla,Bancolombia
6210,Medellin,Bancolombia
6216,Puerto Lopez,Bancolombia
6249,Santafe De Bogota D.C.,Bancolombia
6251,Santafe De Bogota D.C.,Bancolombia
6252,Popayan,Bancolombia
6255,Medellin,Bancolombia
6270,Santafe De Bogota D.C.,Bancolombia
6295,Medellin,Bancolombia
6314,Medellin,Bancolombia
6315,Medellin,Bancolombia
6323,Medellin,Bancolombia
6330,Medellin,Bancolombia
6334,Medellin,Bancolombia
6339,Medellin,Bancolombia
6348,La Ceja,Bancolombia
6356,Medellin,Bancolombia
6365,Santafe De Bogota D.C.,Bancolombia
6369,Santafe De Bogota D.C.,Bancolombia
6392,Soacha,Bancolombia
6409,Villavicencio,Bancolombia
6450,Medellin,Bancolombia
6458,Rionegro,Bancolombia
6498,Medellin,Bancolombia
6505,Medellin,Bancolombia
6564,Medellin,Bancolombia
6594,Medellin,Bancolombia
6613,Medellin,Bancolombia
6629,Sincelejo,Bancolombia
6669,Manizales,Bancolombia
6671,Santafe De Bogota D.C.,Bancolombia
6701,Medellin,Bancolombia
6711,Medellin,Bancolombia
6724,Santafe De Bogota D.C.,Bancolombia
6760,Santafe De Bogota D.C.,Bancolombia
6764,Lorica,Bancolombia
6771,Medellin,Bancolombia
6773,Medellin,Bancolombia
6778,Antioquia,Bancolombia
6783,Medellin,Bancolombia
6787,Rionegro,Bancolombia
6788,Medellin,Bancolombia
6793,Medellin,Bancolombia
6798,Medellin,Bancolombia
6807,Popayan,Bancolombia
6817,Santafe De Bogota D.C.,Bancolombia
6826,Medellin,Bancolombia
6834,Medellin,Bancolombia
6841,Santafe De Bogota D.C.,Bancolombia
6869,Rionegro,Bancolombia
6872,Rionegro,Bancolombia
6887,Medellin,Bancolombia
6913,Medellin,Bancolombia
6915,Bello,Bancolombia
6917,Medellin,Bancolombia
6932,Pereira,Bancolombia
6935,Santafe De Bogota D.C.,Bancolombia
6959,Santafe De Bogota D.C.,Bancolombia
7015,Medellin,Bancolombia
7020,Medellin,Bancolombia
7047,Rionegro,Bancolombia
7085,Medellin,Bancolombia
7102,Santafe De Bogota D.C.,Bancolombia
7119,Santafe De Bogota D.C.,Bancolombia
7163,Dosquebradas,Bancolombia
7227,Envigado,FEC
7278,Medellin,Bancolombia
7306,Medellin,Bancolombia
7314,La Ceja,Bancolombia
7327,Abejorral,Bancolombia
7334,La Ceja,Bancolombia
7337,Santafe De Bogota D.C.,Bancolombia
7349,Santafe De Bogota D.C.,Bancolombia
7393,Medellin,Bancolombia
7429,Rionegro,Bancolombia
7432,Rionegro,Bancolombia
7515,Sabaneta,Bancolombia
7520,Santafe De Bogota D.C.,Bancolombia
7529,Medellin,Bancolombia
7545,Santafe De Bogota D.C.,Bancolombia
7546,Medellin,Bancolombia
7586,Medellin,Bancolombia
7590,Medellin,Bancolombia
7592,Medellin,Bancolombia
7608,Medellin,Bancolombia
7612,Medellin,Bancolombia
7615,Medellin,Bancolombia
7616,Santafe De Bogota D.C.,Bancolombia
7623,Santafe De Bogota D.C.,Bancolombia
7658,Medellin,Bancolombia
7673,Medellin,Bancolombia
7675,Santafe De Bogota D.C.,Bancolombia
7684,Santafe De Bogota D.C.,Bancolombia
